region_id,month,source,bias,rmse,n
R01,1,OM,-0.3584,1.7648,602
R01,1,ERA5,0.0528,1.7256,602
R01,1,NASA,0.8297,2.0493,602
R01,2,OM,0.1061,1.993,564
R01,2,ERA5,0.4813,2.2093,564
R01,2,NASA,1.4479,2.5913,564
R01,3,OM,2.2357,4.4879,622
R01,3,ERA5,2.6585,4.8205,622
R01,3,NASA,3.2451,5.1722,622
R01,4,OM,1.4901,2.96,602
R01,4,ERA5,1.9022,3.0881,602
R01,4,NASA,2.1027,3.4553,602
R01,5,OM,0.4785,2.4263,672
R01,5,ERA5,1.0398,2.6584,672
R01,5,NASA,0.5636,2.6711,672
R01,6,OM,0.438,2.3318,592
R01,6,ERA5,0.9074,2.1318,592
R01,6,NASA,-0.7564,2.6864,592
R01,7,OM,-0.1348,2.2585,618
R01,7,ERA5,0.3625,1.8978,618
R01,7,NASA,-2.7907,3.7161,618
R01,8,OM,-0.4951,1.8329,618
R01,8,ERA5,-0.0681,1.6519,618
R01,8,NASA,-3.0563,3.6476,618
R01,9,OM,0.0744,1.612,566
R01,9,ERA5,0.4904,1.8958,566
R01,9,NASA,-0.9353,2.155,566
R01,10,OM,-0.0153,2.1446,614
R01,10,ERA5,0.6576,2.4666,614
R01,10,NASA,0.2824,2.3532,614
R01,11,OM,-0.0305,1.9583,510
R01,11,ERA5,0.4032,2.1163,510
R01,11,NASA,0.9354,2.3335,510
R01,12,OM,-0.9147,2.1274,508
R01,12,ERA5,-0.5849,2.2935,508
R01,12,NASA,0.2011,1.9899,508
R02,1,OM,,,0
R02,1,ERA5,,,0
R02,1,NASA,,,0
R02,2,OM,,,0
R02,2,ERA5,,,0
R02,2,NASA,,,0
R02,3,OM,,,0
R02,3,ERA5,,,0
R02,3,NASA,,,0
R02,4,OM,,,0
R02,4,ERA5,,,0
R02,4,NASA,,,0
R02,5,OM,,,0
R02,5,ERA5,,,0
R02,5,NASA,,,0
R02,6,OM,,,0
R02,6,ERA5,,,0
R02,6,NASA,,,0
R02,7,OM,,,0
R02,7,ERA5,,,0
R02,7,NASA,,,0
R02,8,OM,,,0
R02,8,ERA5,,,0
R02,8,NASA,,,0
R02,9,OM,,,0
R02,9,ERA5,,,0
R02,9,NASA,,,0
R02,10,OM,,,0
R02,10,ERA5,,,0
R02,10,NASA,,,0
R02,11,OM,,,0
R02,11,ERA5,,,0
R02,11,NASA,,,0
R02,12,OM,,,0
R02,12,ERA5,,,0
R02,12,NASA,,,0
R03,1,OM,,,0
R03,1,ERA5,,,0
R03,1,NASA,,,0
R03,2,OM,,,0
R03,2,ERA5,,,0
R03,2,NASA,,,0
R03,3,OM,,,0
R03,3,ERA5,,,0
R03,3,NASA,,,0
R03,4,OM,,,0
R03,4,ERA5,,,0
R03,4,NASA,,,0
R03,5,OM,,,0
R03,5,ERA5,,,0
R03,5,NASA,,,0
R03,6,OM,,,0
R03,6,ERA5,,,0
R03,6,NASA,,,0
R03,7,OM,,,0
R03,7,ERA5,,,0
R03,7,NASA,,,0
R03,8,OM,,,0
R03,8,ERA5,,,0
R03,8,NASA,,,0
R03,9,OM,,,0
R03,9,ERA5,,,0
R03,9,NASA,,,0
R03,10,OM,,,0
R03,10,ERA5,,,0
R03,10,NASA,,,0
R03,11,OM,,,0
R03,11,ERA5,,,0
R03,11,NASA,,,0
R03,12,OM,,,0
R03,12,ERA5,,,0
R03,12,NASA,,,0
R04,1,OM,,,0
R04,1,ERA5,,,0
R04,1,NASA,,,0
R04,2,OM,,,0
R04,2,ERA5,,,0
R04,2,NASA,,,0
R04,3,OM,,,0
R04,3,ERA5,,,0
R04,3,NASA,,,0
R04,4,OM,,,0
R04,4,ERA5,,,0
R04,4,NASA,,,0
R04,5,OM,,,0
R04,5,ERA5,,,0
R04,5,NASA,,,0
R04,6,OM,,,0
R04,6,ERA5,,,0
R04,6,NASA,,,0
R04,7,OM,,,0
R04,7,ERA5,,,0
R04,7,NASA,,,0
R04,8,OM,,,0
R04,8,ERA5,,,0
R04,8,NASA,,,0
R04,9,OM,,,0
R04,9,ERA5,,,0
R04,9,NASA,,,0
R04,10,OM,,,0
R04,10,ERA5,,,0
R04,10,NASA,,,0
R04,11,OM,,,0
R04,11,ERA5,,,0
R04,11,NASA,,,0
R04,12,OM,,,0
R04,12,ERA5,,,0
R04,12,NASA,,,0
R05,1,OM,,,0
R05,1,ERA5,,,0
R05,1,NASA,,,0
R05,2,OM,,,0
R05,2,ERA5,,,0
R05,2,NASA,,,0
R05,3,OM,,,0
R05,3,ERA5,,,0
R05,3,NASA,,,0
R05,4,OM,,,0
R05,4,ERA5,,,0
R05,4,NASA,,,0
R05,5,OM,,,0
R05,5,ERA5,,,0
R05,5,NASA,,,0
R05,6,OM,,,0
R05,6,ERA5,,,0
R05,6,NASA,,,0
R05,7,OM,,,0
R05,7,ERA5,,,0
R05,7,NASA,,,0
R05,8,OM,,,0
R05,8,ERA5,,,0
R05,8,NASA,,,0
R05,9,OM,,,0
R05,9,ERA5,,,0
