region_id,lat,lon,add_correction_CHIRPS,add_correction_ERA5,add_correction_NASA,add_correction_OM,bias_CHIRPS,bias_ERA5,bias_NASA,bias_OM,mul_factor_CHIRPS,mul_factor_ERA5,mul_factor_NASA,mul_factor_OM,r_CHIRPS,r_ERA5,r_NASA,r_OM,rmse_CHIRPS,rmse_ERA5,rmse_NASA,rmse_OM
R01,35.0035,-5.9155,-77.4145,1.5849,0.4663,0.9702,-77.4145,1.5849,0.4663,0.9702,0.037,2.1183,1.1593,1.338,0.2571,0.2186,0.4556,0.4515,100.0484,6.7428,7.2341,7.0607
R08,32.4356,-6.751,-33.6909,1.8657,-1.9735,,-33.6909,1.8657,-1.9735,,0.0622,8.0576,0.5324,,-0.0251,0.0786,-0.0915,,37.7133,2.886,6.9768,
R10,32.4357,-6.751,-49.9019,2.2094,0.7029,1.3395,-49.9019,2.2094,0.7029,1.3395,0.0584,3.4954,1.2798,1.5821,0.0795,0.1436,0.2668,0.3542,54.5461,6.0638,6.4044,5.9519
R17,34.9311,-2.2695,-24.4203,3.8547,1.8329,1.9462,-24.4203,3.8547,1.8329,1.9462,0.1531,8.2991,1.6964,1.7341,0.1846,0.0671,0.294,0.393,30.0824,7.722,7.5032,7.0116
R18,34.9798,-3.0569,-24.8123,2.2449,0.9339,1.5536,-24.8123,2.2449,0.9339,1.5536,0.1007,5.3012,1.4496,1.9218,0.1815,0.3188,0.3706,0.4722,30.0261,5.7586,5.7874,5.4268
R19,32.5938,-8.8178,-36.1996,2.0624,1.0713,1.6274,-36.1996,2.0624,1.0713,1.6274,0.0663,5.1955,1.6521,2.0669,0.1564,0.1695,0.1891,0.3856,43.5129,5.4835,7.0224,5.3166
R20,32.6699,-8.6606,-24.6284,8.436,8.4343,10.6135,-24.6284,8.436,8.4343,10.6135,0.2736,21.0664,7.8588,9.6179,-0.0013,0.014,0.0436,0.058,116.3194,107.8473,115.3353,129.7592
R21,32.9568,-8.2291,8.9112,70.1276,48.0904,,8.9112,70.1276,48.0904,,1.255,176.2021,17.3786,,-0.1263,-0.2674,-0.0677,,136.1957,173.8866,148.3762,
R22,32.672,-8.4387,-28.241,1.9289,0.8224,1.2063,-28.241,1.9289,0.8224,1.2063,0.0776,5.3892,1.4804,1.6575,0.2199,0.2237,0.3272,0.4663,32.745,4.3406,5.7971,4.3722
R23,32.5989,-8.7018,-33.1111,1.8109,0.9245,1.472,-33.1111,1.8109,0.9245,1.472,0.0642,4.9792,1.6014,1.9644,0.2992,0.3122,0.3245,0.4414,39.6044,4.6104,5.7683,4.7857
R24,34.3044,-6.0235,-50.9389,1.9579,1.1045,0.357,-50.9389,1.9579,1.1045,0.357,0.0518,3.3765,1.7554,1.129,-0.0006,-0.0004,0.1704,0.1625,67.3299,17.206,13.3478,15.1528
