region_id,source,variable,slope,intercept,r2,n_samples
R01,era5,era5_temperature,0.9396375996788029,2.2016594714677247,0.7554,140
R02,era5,era5_temperature,-1.8713291100950418e-31,19.004957765798284,0.0,158
R03,era5,era5_temperature,2.006876574260802e-31,19.004957765798284,0.0,120
R04,era5,era5_temperature,1.1096255990815418e-31,19.004957765798284,0.0,107
R05,era5,era5_temperature,1.8789960724777181e-31,19.004957765798284,0.0,92
R06,era5,era5_temperature,1.1902560153234783e-31,19.004957765798284,0.0,97
R07,era5,era5_temperature,3.7613080278205837e-31,19.004957765798284,0.0,67
R09,era5,era5_temperature,2.8134472431444e-31,19.004957765798284,0.0,97
R10,era5,era5_temperature,0.9521153231011256,-1.0096596179541883,0.9547,79
R11,era5,era5_temperature,-1.1867894915282048e-31,19.004957765798284,0.0,105
R12,era5,era5_temperature,1.8146874581820376e-32,19.004957765798284,0.0,86
R13,era5,era5_temperature,-1.3673854763501593e-31,19.004957765798284,0.0,86
R15,era5,era5_temperature,-3.2302590556722283e-31,19.004957765798284,0.0,86
R16,era5,era5_temperature,-2.3750616761152288e-32,19.004957765798284,0.0,89
R17,era5,era5_temperature,0.8386692422524625,4.384574365154267,0.9908,52
R18,era5,era5_temperature,0.9772203627169211,0.12087671982537529,0.984,53
R19,era5,era5_temperature,1.0636852219386956,-1.2555455586338198,0.9673,81
R20,era5,era5_temperature,1.070953785917433,-1.566210360101337,0.9973,80
R22,era5,era5_temperature,1.0185450333465162,-0.2136155448092012,0.9464,81
R23,era5,era5_temperature,1.0256948840253703,-0.594127712051435,0.968,81
R24,era5,era5_temperature,1.0304405602707454,-1.2912066873596295,0.9561,34
R01,era5,era5_precipitation,0.6828403127090459,1.0658532519330164,0.037,140
R02,era5,era5_precipitation,-0.0,0.0,1.0,158
R03,era5,era5_precipitation,0.0,0.0,1.0,120
R04,era5,era5_precipitation,-0.0,0.0,1.0,107
R05,era5,era5_precipitation,-0.0,0.0,1.0,92
R06,era5,era5_precipitation,0.0,0.0,1.0,97
R07,era5,era5_precipitation,0.0,0.0,1.0,67
R09,era5,era5_precipitation,0.0,0.0,1.0,97
R10,era5,era5_precipitation,1.2056927517414144,0.05236017613892596,0.3903,79
R11,era5,era5_precipitation,0.0,0.0,1.0,105
R12,era5,era5_precipitation,-0.0,0.0,1.0,86
R13,era5,era5_precipitation,-0.0,0.0,1.0,86
R15,era5,era5_precipitation,-0.0,0.0,1.0,86
R16,era5,era5_precipitation,-0.0,0.0,1.0,89
R17,era5,era5_precipitation,1.6488072685583162,0.14816565540027882,0.2772,52
R18,era5,era5_precipitation,1.58221413288125,-0.02920552019060385,0.6958,53
R19,era5,era5_precipitation,1.3696570255962393,0.1541521997596465,0.5348,81
R20,era5,era5_precipitation,4.170888868965627,1.5669164688961634,0.0237,80
R22,era5,era5_precipitation,1.968955270466839,0.021563548638050434,0.8161,81
R23,era5,era5_precipitation,2.210144836908563,-0.018146544418731092,0.7642,81
R24,era5,era5_precipitation,0.45617200441080563,0.6610694159646986,0.0298,34
R01,era5,era5_wind_speed,0.2218187406993247,0.7080561020782421,0.0406,140
R02,era5,era5_wind_speed,-0.0,0.0,1.0,158
R03,era5,era5_wind_speed,0.0,0.0,1.0,120
R04,era5,era5_wind_speed,0.0,0.0,1.0,107
R05,era5,era5_wind_speed,0.0,0.0,1.0,92
R06,era5,era5_wind_speed,0.0,0.0,1.0,97
R07,era5,era5_wind_speed,0.4570009792563112,0.16836928444101218,0.5788,67
R09,era5,era5_wind_speed,0.0,0.0,1.0,97
R10,era5,era5_wind_speed,0.4447708310521695,0.26005057157595046,0.4947,79
R11,era5,era5_wind_speed,0.1470094673317787,0.3690778058643218,0.2575,105
R12,era5,era5_wind_speed,2.086386651022292,1.295260771843616,0.0043,86
R13,era5,era5_wind_speed,0.3171170633717986,0.44611484180850086,0.2779,86
R15,era5,era5_wind_speed,0.3040463068364905,0.2700247374918674,0.1824,86
R16,era5,era5_wind_speed,1.5000698442592237,-0.636293630266094,0.0781,89
R17,era5,era5_wind_speed,0.21604527034067572,0.8006028722228039,0.1137,52
R18,era5,era5_wind_speed,0.02579305042287862,0.6752749258917486,0.0005,53
R19,era5,era5_wind_speed,0.11309984745580812,0.08301983891511391,0.0513,81
R20,era5,era5_wind_speed,0.16246245914711832,0.9396626694518022,0.2312,80
R22,era5,era5_wind_speed,0.0,0.0,1.0,81
R23,era5,era5_wind_speed,0.14401676702872826,0.8156581236894886,0.0858,81
R24,era5,era5_wind_speed,0.38949707641182835,0.3358255442143587,0.1707,34
