region_id,source,variable,slope,intercept,r2,n_samples
R01,nasa,nasa_temperature,0.6954656848602706,6.2271561491153395,0.545,3544
R02,nasa,nasa_temperature,-3.158428440510403e-31,19.004957765798284,0.0,4192
R03,nasa,nasa_temperature,2.3366661675901154e-31,19.00495776579828,0.0,3097
R04,nasa,nasa_temperature,-1.1264587309110236e-31,19.004957765798284,0.0,2677
R05,nasa,nasa_temperature,-1.5641582282967068e-31,19.00495776579828,0.0,2276
R06,nasa,nasa_temperature,6.020094491716477e-32,19.004957765798284,0.0,2239
R07,nasa,nasa_temperature,-1.9288113923075766e-31,19.004957765798284,0.0,1550
R09,nasa,nasa_temperature,-3.629886457835348e-31,19.00495776579828,0.0,2827
R10,nasa,nasa_temperature,0.9472902224692638,-0.4139269918333106,0.9442,1902
R11,nasa,nasa_temperature,-2.0688044906830224e-33,19.004957765798284,0.0,2778
R12,nasa,nasa_temperature,4.491285214397722e-33,19.00495776579828,0.0,2185
R13,nasa,nasa_temperature,-1.2396167519281464e-31,19.00495776579828,0.0,2178
R15,nasa,nasa_temperature,1.3833930371090454e-31,19.00495776579828,0.0,2196
R16,nasa,nasa_temperature,-4.9224228220095575e-32,19.004957765798284,0.0,2193
R17,nasa,nasa_temperature,0.9040860670036411,1.6602762463594978,0.9503,1185
R18,nasa,nasa_temperature,0.9217799695167352,0.1978664484999868,0.936,1200
R19,nasa,nasa_temperature,0.9326329499644237,0.7231321848377661,0.9565,2049
R20,nasa,nasa_temperature,0.9570889727236598,0.17267019837149888,0.9612,2048
R22,nasa,nasa_temperature,0.9823447483158403,0.0976020331372709,0.9524,2002
R23,nasa,nasa_temperature,0.949708997262107,0.4840257442849918,0.9539,2050
R24,nasa,nasa_temperature,1.0872830908734388,-3.328096376277383,0.914,880
R01,nasa,nasa_precipitation,0.4971891591453804,0.32018659720323883,0.4386,3544
R02,nasa,nasa_precipitation,-0.0,0.0,1.0,4192
R03,nasa,nasa_precipitation,0.0,0.0,1.0,3097
R04,nasa,nasa_precipitation,-0.0,0.0,1.0,2677
R05,nasa,nasa_precipitation,-0.0,0.0,1.0,2276
R06,nasa,nasa_precipitation,0.0,0.0,1.0,2239
R07,nasa,nasa_precipitation,0.0,0.0,1.0,1550
R09,nasa,nasa_precipitation,0.0,0.0,1.0,2827
R10,nasa,nasa_precipitation,0.2500103691489857,0.2216162642356792,0.1388,1902
R11,nasa,nasa_precipitation,0.0,0.0,1.0,2778
R12,nasa,nasa_precipitation,-0.0,0.0,1.0,2185
R13,nasa,nasa_precipitation,0.0,0.0,1.0,2178
R15,nasa,nasa_precipitation,-0.0,0.0,1.0,2196
R16,nasa,nasa_precipitation,0.0,0.0,1.0,2193
