region_id,source,variable,slope,intercept,r2,n_samples
R01,openmeteo,om_temperature,0.8639963578513138,3.14100724430698,0.5569,3544
R02,openmeteo,om_temperature,4.132107437165236e-32,19.004957765798284,0.0,4192
R03,openmeteo,om_temperature,4.495540870125363e-31,19.00495776579828,0.0,3097
R04,openmeteo,om_temperature,1.2340504202538193e-31,19.004957765798284,0.0,2677
R05,openmeteo,om_temperature,2.1746874659158613e-31,19.00495776579828,0.0,2276
R06,openmeteo,om_temperature,3.3759664418472227e-32,19.004957765798284,0.0,2239
R07,openmeteo,om_temperature,4.113109144147876e-32,19.004957765798284,0.0,1550
R09,openmeteo,om_temperature,-1.9122009788278513e-31,19.00495776579828,0.0,2827
R10,openmeteo,om_temperature,0.948137251440053,-1.2244469879753979,0.975,1902
R11,openmeteo,om_temperature,9.519974729629692e-32,19.004957765798284,0.0,2778
R12,openmeteo,om_temperature,1.697611018528261e-31,19.00495776579828,0.0,2185
R13,openmeteo,om_temperature,1.3385992774645098e-31,19.00495776579828,0.0,2178
R15,openmeteo,om_temperature,9.867480946213004e-32,19.00495776579828,0.0,2196
R16,openmeteo,om_temperature,1.1575728092743877e-31,19.004957765798284,0.0,2193
R17,openmeteo,om_temperature,0.9800593750732693,0.996990040814179,0.9766,1185
R18,openmeteo,om_temperature,0.9958489890332033,-0.5939493284598178,0.947,1200
R19,openmeteo,om_temperature,0.9936483465897612,-0.22059557087557735,0.9803,2049
R20,openmeteo,om_temperature,1.0075987704918594,-0.5956695090460293,0.9841,2048
R22,openmeteo,om_temperature,0.951608505222903,0.7457139847709549,0.98,2002
R23,openmeteo,om_temperature,0.9750178359233383,0.09251855247413232,0.9814,2050
R24,openmeteo,om_temperature,0.8945086909536927,0.9527794702232057,0.9409,880
R01,openmeteo,om_precipitation,0.6145312014290095,0.3124484262063849,0.4185,3544
R02,openmeteo,om_precipitation,0.0,0.0,1.0,4192
R03,openmeteo,om_precipitation,-0.0,0.0,1.0,3097
R04,openmeteo,om_precipitation,0.0,0.0,1.0,2677
R05,openmeteo,om_precipitation,0.0,0.0,1.0,2276
R06,openmeteo,om_precipitation,0.0,0.0,1.0,2239
R07,openmeteo,om_precipitation,0.0,0.0,1.0,1550
R09,openmeteo,om_precipitation,0.0,0.0,1.0,2827
R10,openmeteo,om_precipitation,0.5584121305922526,0.09822602158859922,0.3056,1902
R11,openmeteo,om_precipitation,0.0,0.0,1.0,2778
R12,openmeteo,om_precipitation,-0.0,0.0,1.0,2185
R13,openmeteo,om_precipitation,0.0,0.0,1.0,2178
R15,openmeteo,om_precipitation,0.0,0.0,1.0,2196
R16,openmeteo,om_precipitation,0.0,0.0,1.0,2193
R17,openmeteo,om_precipitation,0.7166520110945402,0.08845215136116802,0.4825,1185
R18,openmeteo,om_precipitation,0.9084593858163748,-0.000530608046761305,0.5608,1200
R19,openmeteo,om_precipitation,0.6126211495020341,0.1948283722406976,0.2841,2049
R20,openmeteo,om_precipitation,2.9726548011763136,1.4569547718557245,0.0107,2048
R22,openmeteo,om_precipitation,0.6176285523167543,0.12393273442115382,0.5229,2002
R23,openmeteo,om_precipitation,0.6733159209700302,0.16547820233044774,0.4309,2050
R24,openmeteo,om_precipitation,0.3067781785407431,0.570866713765356,0.0256,880
R01,openmeteo,om_humidity,0.5078373517087627,17.36238177992641,0.0272,3544
R02,openmeteo,om_humidity,0.0,0.0,1.0,4192
R03,openmeteo,om_humidity,-0.0,0.0,1.0,3097
R04,openmeteo,om_humidity,-0.0,0.0,1.0,2677
R05,openmeteo,om_humidity,-0.0,0.0,1.0,2276
R06,openmeteo,om_humidity,-0.0,0.0,1.0,2239
R07,openmeteo,om_humidity,-0.0,0.0,1.0,1550
R09,openmeteo,om_humidity,-0.0,0.0,1.0,2827
R10,openmeteo,om_humidity,0.9558595981806286,13.565379115117025,0.7993,1902
R11,openmeteo,om_humidity,-0.0,0.0,1.0,2778
R12,openmeteo,om_humidity,-0.0,0.0,1.0,2185
R13,openmeteo,om_humidity,-0.0,0.0,1.0,2178
R15,openmeteo,om_humidity,0.0,0.0,1.0,2196
